,Corruption,FP,T5D
0,brightness,0.02658133333333068,0.894257999999964
1,gaussian_noise,0.09401733333333666,2.9202866666666414
2,motion_blur,0.04278200000000077,1.2447073333332972
3,rotate,0.060508000000000346,1.9617539999999483
4,scale,0.10883133333333488,2.8704713333332776
5,shot_noise,0.12628600000000653,3.6543213333333022
6,snow,0.05890666666666579,1.5841993333333035
7,tilt,0.035035333333333134,1.2411339999999595
8,translate,0.045028000000000956,1.5925074999999969
9,zoom_blur,0.03874066666666772,1.072857999999966
