,Corruption,FP,T5D
0,brightness,0.024037999999998453,0.8344099999999599
1,gaussian_noise,0.08654733333333539,2.712390666666615
2,motion_blur,0.038562000000000075,1.1662659999999678
3,rotate,0.05719266666666661,1.8968679999999627
4,scale,0.101684000000002,2.792892666666607
5,shot_noise,0.10855333333333803,3.2627306666666414
6,snow,0.053686666666665515,1.4991773333332943
7,tilt,0.03472466666666652,1.21685666666664
8,translate,0.04595150000000103,1.6194945000000014
9,zoom_blur,0.03873533333333436,1.0848526666666314
