,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,66.332,64.91,62.752,59.1,54.134,0.056123134646378456,0.05613244756538421,0.05530558392353356,0.053158589882012455,0.051839829266536984
1,contrast,63.19,60.738,56.122,43.01,23.822,0.0574489732677862,0.058115474972724915,0.059244880861267446,0.05651082186635584,0.059176686622407285
2,defocus_blur,54.436,48.926,37.226,26.8,18.146,0.05539973360573873,0.05467170028651133,0.05747807060927153,0.05604108073415235,0.05295299835187383
3,elastic_transform,59.8,43.468,57.598,46.758,21.214,0.06190080274915322,0.053527313755545765,0.05746380470339209,0.05888809372480959,0.14613980478294195
4,fog,58.606,54.138,46.604,40.96,26.356,0.05695863724246621,0.05634118762604892,0.05101194527652115,0.05583124256331474,0.1165026847447455
5,frost,57.71,46.52,38.512,36.988,31.814,0.053654607064109294,0.05344243361335248,0.06174203227356076,0.06449385710520669,0.07481322511287405
6,gaussian_noise,58.784,55.994,50.416,39.944,25.38,0.053927344434708355,0.053404912901911884,0.05253003848588094,0.05310109043775126,0.049041172180538994
7,glass_blur,55.674,45.624,21.344,16.916,12.706,0.0541851359622553,0.056818541443012655,0.10314415854379534,0.1074887500878144,0.10336523454578593
8,impulse_noise,57.83,53.976,49.9,38.594,25.73,0.05439350364990533,0.05394405529662967,0.0543781688031368,0.052687370302705094,0.05012139378007501
9,jpeg_compression,60.282,56.802,54.324,46.082,34.694,0.055017400727849455,0.05325782977951691,0.05527532827347517,0.05713501823257655,0.05233477861381136
10,motion_blur,60.368,52.246,36.856,21.54,14.658,0.05634267115201801,0.059300535621270536,0.05231369841633365,0.05486847170913592,0.06641584248414263
11,pixelate,64.092,63.742,54.91,34.456,22.924,0.055275591455958784,0.05591044537436217,0.05513856470011175,0.0706508861531876,0.10063322894655168
12,shot_noise,58.73,56.034,49.798,34.514,21.816,0.053672894549258054,0.05465185681303963,0.05538293258966878,0.05353378817616962,0.04909760577986017
13,snow,53.772,39.874,38.818,28.162,27.278,0.05151261008761823,0.05280706472836435,0.05555854853186756,0.06949852919299156,0.07717936766931788
14,zoom_blur,48.754,39.264,32.862,26.566,21.254,0.05607315762583166,0.05790801036957651,0.06399574728185312,0.0731405534524098,0.08521847226005047
